Username,Handle,Timestamp,Text,Associated Hashtags,Replies,Retweets,Likes
jed doherty,@jedliemagic,2021-12-15T19:45:02.000Z,"Little Actions Can Make A Big Difference For Our World. Find out how you and your kids can protect our planet with Alan Hesse, Meeg Pincus, Evelyn Bookless & Christa Avampato. #ClimateChange 
@AlanJamesHesse1
 @christanyc
 @evelynbookless
 @jedliemagic",[],0,0,0
Eddan.Z,@eddan0306,2021-12-15T19:44:57.000Z,"Climate Change Pushes Wildfires to New Heights #ClimateChange via http://twinybots.ch
landsat.gsfc.nasa.gov
Climate Change Pushes Wildfires to New Heights
Wildfires in the western United States have been spreading to higher elevations over the past few decades due to warmer and drier conditions that are clearly linked to climate change.",[],0,0,0
clickforjustice,@clickforjustice,2021-12-15T19:42:34.000Z,"Why would the Democratic Party vote to give money to people who are not supporting #ClimateChange, #VotingRights, #BuildBackBetter bills, eliminating the filibuster rule? 
@RandPaul
 @LeaderMcConnell
 voted against every democratic bill for all the people.
ABC News Politics
@ABCPolitics
 · 4m
Pres. Biden prays with local and state leaders as he tours devastating tornado damage in Mayfield, Kentucky. https://abcn.ws/3DSA5kM","['#ClimateChange,', '#VotingRights,', '#BuildBackBetter']",0,0,0
Bob Hill,@bobhillbrain,2021-12-15T19:42:20.000Z,"Businesses only interest in how many money could win https://rpujolviven.blogspot.com/2013/01/economy-science-or-religion.html… #ClimateAction 
WWF UK CEO says businesses must act on #ClimateChange http://ft.com/partnercontent/reckitt/wwf-uk-ceo-says-businesses-must-act-on-climate-change.html… via 
@ft_content
ft.com
WWF UK CEO says businesses must act on climate change",['#ClimateAction'],0,0,0
Kat,@ksc_2015,2021-12-15T19:42:19.000Z,"Nice to hear 
@WeAreOxy
 CEO Vicki Hollub tell the #21oilandgasconference that climate change is real and that the industry needs to get on board to make changes and help fix it. #climatechange
2
1",['#21oilandgasconference'],0,2,1
lab Tech Kate,@katlyn_joi,2021-12-15T19:42:09.000Z,It's supposed to hit 71°F today and we're under a tornado watch in December. #climatechange,[],0,0,0
NosE,@noselanariz,2021-12-15T19:41:59.000Z,"nice #climatewarning installation at a ski resort in Aspen #climatechange .
aspensnowmass.com
Melting Art with a Message | Climate Stories | Inside Aspen Snowmass
The Melted Gondola at the top of Aspen Mountain helps us visualize the impacts of global warming — and encourages us to act. Learn more about this installation.",['#climatewarning'],0,0,0
Will Derham,@w_derham,2021-12-15T19:40:10.000Z,"Take a moment to read this short thread:

“If the entire Thwaites glacier slid in to the ocean it would cause 65cm sea level rise.”

This demands *everyone’s* attention.
#ClimateCrisis #ClimateChange #Climate #ClimateActionNow
Philip Boucher-Hayes
@boucherhayes
 · 12h
What scientists are projecting will happen to the Thwaites Glacier in the next three to five years should be front page news everywhere today. 
Short thread.
Show this thread","['#ClimateCrisis', '#Climate', '#ClimateActionNow']",0,0,0
Lre,@detous,2021-12-15T19:39:32.000Z,"Replying to 
@Sierra_Magazine
 @adamfederman
 and 
@typeinvestigate
Excellent, Thank You!! & Climatechange as one word = Yes! #Alaska #AK #ClimateChange #ClimateCrisis","['#Alaska', '#AK', '#ClimateCrisis']",0,0,0
Pamela Hess,@pampharo,2021-12-15T19:39:29.000Z,"#ClimateChange
Treehugger.com
@Treehugger
 · 3h
Animal rescue plays an ever-growing role in the fight against #climatechange. Here's why: https://bit.ly/30s0UP0 @SamiGrover",['#climatechange.'],0,0,0
Asha Bajaj,@abajaj033,2021-12-15T19:39:26.000Z,"38℃ record Arctic temperature confirmed, others likely to follow: WMO; https://bit.ly/3dW3iRe
: #WMO; #ClimateChange; #Environment; #UN; #Arctic; #WarmingFast","['#WMO;', '#ClimateChange;', '#Environment;', '#UN;', '#Arctic;', '#WarmingFast']",0,0,0
Jorge,@whorehey_d,2021-12-15T19:38:22.000Z,Feel like being in a pool right now  #december #supposedtobewinter #texas #climatechange,"['#december', '#supposedtobewinter', '#texas']",0,0,0
Jay C. Ford,@jaycford,2021-12-15T19:38:14.000Z," @wetlandswatchVA
 !!

Communities like the Northern Neck, Middle peninsula, & Eastern Shore would see their only life preserver disappear if VA exits #RGGI

Our rural coastal communities need this assistance to meet the increasing challenges from #sealevelrise & #climatechange
Wetlands Watch
@wetlandswatchVA
 · 5h
“Contrary to Youngkin’s statement, absent some new scheme to pay for our flooding fixes and given the magnitude of the problems we face, RGGI and the Flood Fund are actually the best deal for Virginia’s businesses and citizens.”   https://virginiamercury.com/2021/12/14/virginias-flood-woes-ittime-for-some-consistency/…
Show this thread","['#RGGI', '#sealevelrise']",0,0,0
Armand R. Anderson,@ataaoko2000,2021-12-15T19:37:42.000Z,"Replying to 
@ErikSolheim
This is seriously mind blowing. Everyone has a role to play because achieving the SDGs needs all hands on deck. #climatechange #SDGs",['#SDGs'],0,0,0
Doc Holliday*,@TheeDocHolliday,2021-12-15T19:37:38.000Z,I call the current weather situation in the central plains #ClimateEngineering by the government…..Not #climatechange by the global population ,['#ClimateEngineering'],0,0,0
Moonman,@MoonmanCartoons,2021-12-15T19:37:02.000Z,"Global Warming: the greatest existential threat to mankind since the 1970s threat of an impending Ice Age… 

#GlobalWarming #climatechange #JohnKerry #politicalcartoons #climatealarmism #climatehysteria #pantsonfire","['#GlobalWarming', '#JohnKerry', '#politicalcartoons', '#climatealarmism', '#climatehysteria', '#pantsonfire']",0,0,0
Art Vandelay,@GreenMonsterah,2021-12-15T19:36:57.000Z,"It could be #HAARP no?  I mean we have been trying to modify weather for 25 + years, that is more likely than #ClimateChange
Brennan Trimble
@BrennanTrimble
 · 12m
Replying to @GreenMonsterah
Art, one has to admit, devastating tornadoes in December are not normal. Maybe they aren’t becoming the norm, but it’s odd nonetheless.
1",['#HAARP'],1,0,0
